 0.060000000000000005 0.4000000000000002 0.0 0.0
 0.060000000000000005 0.4100000000000002 0.0 0.0
 0.060000000000000005 0.4200000000000002 0.0 0.0
 0.060000000000000005 0.4300000000000002 0.0 0.0
 0.060000000000000005 0.4400000000000002 0.0 0.0
 0.060000000000000005 0.45000000000000023 0.0 0.0
 0.060000000000000005 0.46000000000000024 0.0 0.0
 0.060000000000000005 0.47000000000000025 0.0 0.0
 0.060000000000000005 0.48000000000000026 0.0 0.0
 0.060000000000000005 0.49000000000000027 0.0 0.0
 0.060000000000000005 0.5000000000000002 0.0 0.0
 0.060000000000000005 0.5100000000000002 0.0 0.0
 0.060000000000000005 0.5200000000000002 0.0 0.0
 0.060000000000000005 0.5300000000000002 0.0 0.0
 0.060000000000000005 0.5400000000000003 0.0 0.0
 0.060000000000000005 0.5500000000000003 0.0 0.0
 0.060000000000000005 0.5600000000000003 0.0 0.0
 0.060000000000000005 0.5700000000000003 0.0 0.0
 0.060000000000000005 0.5800000000000003 0.0 0.0
 0.060000000000000005 0.5900000000000003 0.0 0.0
 0.060000000000000005 0.6000000000000003 0.0 0.0
 0.060000000000000005 0.6100000000000003 0.0 0.0
 0.060000000000000005 0.6200000000000003 0.0 0.0
 0.060000000000000005 0.6300000000000003 0.0 0.0
 0.060000000000000005 0.6400000000000003 0.0 0.0
 0.060000000000000005 0.6500000000000004 0.0 0.0
 0.060000000000000005 0.6600000000000004 0.0 0.0
 0.060000000000000005 0.6700000000000004 0.0 0.0
 0.060000000000000005 0.6800000000000004 0.0 0.0
 0.060000000000000005 0.6900000000000004 0.0 0.0
 0.060000000000000005 0.7000000000000004 0.0 0.0
 0.060000000000000005 0.7100000000000004 0.0 0.0
 0.060000000000000005 0.7200000000000004 0.0 0.0
 0.060000000000000005 0.7300000000000004 0.0 0.0
 0.060000000000000005 0.7400000000000004 0.0 0.0
 0.060000000000000005 0.7500000000000004 0.0 0.0
 0.060000000000000005 0.7600000000000005 0.0 0.0
 0.060000000000000005 0.7700000000000005 0.0 0.0
 0.060000000000000005 0.7800000000000005 0.0 0.0
 0.060000000000000005 0.7900000000000005 0.0 0.0
 0.060000000000000005 0.8000000000000005 0.0 0.0
 0.060000000000000005 0.8100000000000005 0.0 0.0
 0.060000000000000005 0.8200000000000005 0.0 0.0
 0.060000000000000005 0.8300000000000005 0.0 0.0
 0.060000000000000005 0.8400000000000005 0.0 0.0
 0.060000000000000005 0.8500000000000005 0.0 0.0
 0.060000000000000005 0.8600000000000005 0.0 0.0
 0.060000000000000005 0.8700000000000006 0.0 0.0
 0.060000000000000005 0.8800000000000006 0.0 0.0
 0.060000000000000005 0.8900000000000006 0.0 0.0
 0.060000000000000005 0.9000000000000006 0.0 0.0
 0.060000000000000005 0.9100000000000006 0.0 0.0
 0.060000000000000005 0.9200000000000006 0.0 0.0
 0.060000000000000005 0.9300000000000006 0.0 0.0
 0.060000000000000005 0.9400000000000006 0.0 0.0
 0.060000000000000005 0.9500000000000006 0.0 0.0
 0.060000000000000005 0.9600000000000006 0.0 0.0
 0.060000000000000005 0.9700000000000006 0.0 0.0
 0.060000000000000005 0.9800000000000006 0.0 0.0
 0.060000000000000005 0.9900000000000007 0.0 0.0
 0.060000000000000005 1.0000000000000007 0.0 0.0

 0.07 0.0 0.0 0.0
 0.07 0.01 0.0 0.0
 0.07 0.02 0.0 0.0
 0.07 0.03 0.0 0.0
 0.07 0.04 0.0 0.0
 0.07 0.05 0.0 0.0
 0.07 0.060000000000000005 0.0 0.0
 0.07 0.07 0.0 0.0
 0.07 0.08 0.0 0.0
 0.07 0.09 0.0 0.0
 0.07 0.09999999999999999 0.0 0.0
 0.07 0.10999999999999999 0.0 0.0
 0.07 0.11999999999999998 0.0 0.0
 0.07 0.12999999999999998 0.0 0.0
 0.07 0.13999999999999999 0.0 0.0
 0.07 0.15 0.0 0.0
 0.07 0.16 0.0 0.0
 0.07 0.17 0.0 0.0
 0.07 0.18000000000000002 0.0 0.0
 0.07 0.19000000000000003 0.0 0.0
 0.07 0.20000000000000004 0.0 0.0
 0.07 0.21000000000000005 0.0 0.0
 0.07 0.22000000000000006 0.0 0.0
 0.07 0.23000000000000007 0.0 0.0
 0.07 0.24000000000000007 0.0 0.0
 0.07 0.25000000000000006 0.0 0.0
 0.07 0.26000000000000006 0.0 0.0
 0.07 0.2700000000000001 0.0 0.0
 0.07 0.2800000000000001 0.0 0.0
 0.07 0.2900000000000001 0.0 0.0
 0.07 0.3000000000000001 0.0 0.0
 0.07 0.3100000000000001 0.0 0.0
 0.07 0.3200000000000001 0.0 0.0
 0.07 0.3300000000000001 0.0 0.0
 0.07 0.34000000000000014 0.0 0.0
 0.07 0.35000000000000014 0.0 0.0
 0.07 0.36000000000000015 0.0 0.0
 0.07 0.37000000000000016 0.0 0.0
 0.07 0.38000000000000017 0.0 0.0
 0.07 0.3900000000000002 0.0 0.0
 0.07 0.4000000000000002 0.0 0.0
 0.07 0.4100000000000002 0.0 0.0
 0.07 0.4200000000000002 0.0 0.0
 0.07 0.4300000000000002 0.0 0.0
 0.07 0.4400000000000002 0.0 0.0
 0.07 0.45000000000000023 0.0 0.0
 0.07 0.46000000000000024 0.0 0.0
 0.07 0.47000000000000025 0.0 0.0
 0.07 0.48000000000000026 0.0 0.0
 0.07 0.49000000000000027 0.0 0.0
 0.07 0.5000000000000002 0.0 0.0
 0.07 0.5100000000000002 0.0 0.0
 0.07 0.5200000000000002 0.0 0.0
 0.07 0.5300000000000002 0.0 0.0
 0.07 0.5400000000000003 0.0 0.0
 0.07 0.5500000000000003 0.0 0.0
 0.07 0.5600000000000003 0.0 0.0
 0.07 0.5700000000000003 0.0 0.0
 0.07 0.5800000000000003 0.0 0.0
 0.07 0.5900000000000003 0.0 0.0
 0.07 0.6000000000000003 0.0 0.0
 0.07 0.6100000000000003 0.0 0.0
 0.07 0.6200000000000003 0.0 0.0
 0.07 0.6300000000000003 0.0 0.0
 0.07 0.6400000000000003 0.0 0.0
 0.07 0.6500000000000004 0.0 0.0
 0.07 0.6600000000000004 0.0 0.0
 0.07 0.6700000000000004 0.0 0.0
 0.07 0.6800000000000004 0.0 0.0
 0.07 0.6900000000000004 0.0 0.0
 0.07 0.7000000000000004 0.0 0.0
 0.07 0.7100000000000004 0.0 0.0
 0.07 0.7200000000000004 0.0 0.0
 0.07 0.7300000000000004 0.0 0.0
 0.07 0.7400000000000004 0.0 0.0
 0.07 0.7500000000000004 0.0 0.0
 0.07 0.7600000000000005 0.0 0.0
 0.07 0.7700000000000005 0.0 0.0
 0.07 0.7800000000000005 0.0 0.0
 0.07 0.7900000000000005 0.0 0.0
 0.07 0.8000000000000005 0.0 0.0
 0.07 0.8100000000000005 0.0 0.0
 0.07 0.8200000000000005 0.0 0.0
 0.07 0.8300000000000005 0.0 0.0
 0.07 0.8400000000000005 0.0 0.0
 0.07 0.8500000000000005 0.0 0.0
 0.07 0.8600000000000005 0.0 0.0
 0.07 0.8700000000000006 0.0 0.0
 0.07 0.8800000000000006 0.0 0.0
 0.07 0.8900000000000006 0.0 0.0
 0.07 0.9000000000000006 0.0 0.0
 0.07 0.9100000000000006 0.0 0.0
 0.07 0.9200000000000006 0.0 0.0
 0.07 0.9300000000000006 0.0 0.0
 0.07 0.9400000000000006 0.0 0.0
 0.07 0.9500000000000006 0.0 0.0
 0.07 0.9600000000000006 0.0 0.0
 0.07 0.9700000000000006 0.0 0.0
 0.07 0.9800000000000006 0.0 0.0
 0.07 0.9900000000000007 0.0 0.0
 0.07 1.0000000000000007 0.0 0.0

 0.08 0.0 0.0 0.0
 0.08 0.01 0.0 0.0
 0.08 0.02 0.0 0.0
 0.08 0.03 0.0 0.0
 0.08 0.04 0.0 0.0
 0.08 0.05 0.0 0.0
 0.08 0.060000000000000005 0.0 0.0
 0.08 0.07 0.0 0.0
 0.08 0.08 0.0 0.0
 0.08 0.09 0.0 0.0
 0.08 0.09999999999999999 0.0 0.0
 0.08 0.10999999999999999 0.0 0.0
 0.08 0.11999999999999998 0.0 0.0
 0.08 0.12999999999999998 0.0 0.0
 0.08 0.13999999999999999 0.0 0.0
 0.08 0.15 0.0 0.0
 0.08 0.16 0.0 0.0
 0.08 0.17 0.0 0.0
 0.08 0.18000000000000002 0.0 0.0
 0.08 0.19000000000000003 0.0 0.0
 0.08 0.20000000000000004 0.0 0.0
 0.08 0.21000000000000005 0.0 0.0
 0.08 0.22000000000000006 0.0 0.0
 0.08 0.23000000000000007 0.0 0.0
 0.08 0.24000000000000007 0.0 0.0
 0.08 0.25000000000000006 0.0 0.0
 0.08 0.26000000000000006 0.0 0.0
 0.08 0.2700000000000001 0.0 0.0
 0.08 0.2800000000000001 0.0 0.0
 0.08 0.2900000000000001 0.0 0.0
 0.08 0.3000000000000001 0.0 0.0
 0.08 0.3100000000000001 0.0 0.0
 0.08 0.3200000000000001 0.0 0.0
 0.08 0.3300000000000001 0.0 0.0
 0.08 0.34000000000000014 0.0 0.0
 0.08 0.35000000000000014 0.0 0.0
 0.08 0.36000000000000015 0.0 0.0
 0.08 0.37000000000000016 0.0 0.0
 0.08 0.38000000000000017 0.0 0.0
 0.08 0.3900000000000002 0.0 0.0
 0.08 0.4000000000000002 0.0 0.0
 0.08 0.4100000000000002 0.0 0.0
 0.08 0.4200000000000002 0.0 0.0
 0.08 0.4300000000000002 0.0 0.0
 0.08 0.4400000000000002 0.0 0.0
 0.08 0.45000000000000023 0.0 0.0
 0.08 0.46000000000000024 0.0 0.0
 0.08 0.47000000000000025 0.0 0.0
 0.08 0.48000000000000026 0.0 0.0
 0.08 0.49000000000000027 0.0 0.0
 0.08 0.5000000000000002 0.0 0.0
 0.08 0.5100000000000002 0.0 0.0
 0.08 0.5200000000000002 0.0 0.0
 0.08 0.5300000000000002 0.0 0.0
 0.08 0.5400000000000003 0.0 0.0
 0.08 0.5500000000000003 0.0 0.0
 0.08 0.5600000000000003 0.0 0.0
 0.08 0.5700000000000003 0.0 0.0
 0.08 0.5800000000000003 0.0 0.0
 0.08 0.5900000000000003 0.0 0.0
 0.08 0.6000000000000003 0.0 0.0
 0.08 0.6100000000000003 0.0 0.0
 0.08 0.6200000000000003 0.0 0.0
 0.08 0.6300000000000003 0.0 0.0
 0.08 0.6400000000000003 0.0 0.0
 0.08 0.6500000000000004 0.0 0.0
 0.08 0.6600000000000004 0.0 0.0
 0.08 0.6700000000000004 0.0 0.0
 0.08 0.6800000000000004 0.0 0.0
 0.08 0.6900000000000004 0.0 0.0
 0.08 0.7000000000000004 0.0 0.0
 0.08 0.7100000000000004 0.0 0.0
 0.08 0.7200000000000004 0.0 0.0
 0.08 0.7300000000000004 0.0 0.0
 0.08 0.7400000000000004 0.0 0.0
 0.08 0.7500000000000004 0.0 0.0
 0.08 0.7600000000000005 0.0 0.0
 0.08 0.7700000000000005 0.0 0.0
 0.08 0.7800000000000005 0.0 0.0
 0.08 0.7900000000000005 0.0 0.0
 0.08 0.8000000000000005 0.0 0.0
 0.08 0.8100000000000005 0.0 0.0
 0.08 0.8200000000000005 0.0 0.0
 0.08 0.8300000000000005 0.0 0.0
 0.08 0.8400000000000005 0.0 0.0
 0.08 0.8500000000000005 0.0 0.0
 0.08 0.8600000000000005 0.0 0.0
 0.08 0.8700000000000006 0.0 0.0
 0.08 0.8800000000000006 0.0 0.0
 0.08 0.8900000000000006 0.0 0.0
 0.08 0.9000000000000006 0.0 0.0
 0.08 0.9100000000000006 0.0 0.0
 0.08 0.9200000000000006 0.0 0.0
 0.08 0.9300000000000006 0.0 0.0
 0.08 0.9400000000000006 0.0 0.0
 0.08 0.9500000000000006 0.0 0.0
 0.08 0.9600000000000006 0.0 0.0
 0.08 0.9700000000000006 0.0 0.0
 0.08 0.9800000000000006 0.0 0.0
 0.08 0.9900000000000007 0.0 0.0
 0.08 1.0000000000000007 0.0 0.0

 0.09 0.0 0.0 0.0
 0.09 0.01 0.0 0.0
 0.09 0.02 0.0 0.0
 0.09 0.03 0.0 0.0
 0.09 0.04 0.0 0.0
 0.09 0.05 0.0 0.0
 0.09 0.060000000000000005 0.0 0.0
 0.09 0.07 0.0 0.0
 0.09 0.08 0.0 0.0
 0.09 0.09 0.0 0.0
 0.09 0.09999999999999999 0.0 0.0
 0.09 0.10999999999999999 0.0 0.0
 0.09 0.11999999999999998 0.0 0.0
 0.09 0.12999999999999998 0.0 0.0
 0.09 0.13999999999999999 0.0 0.0
 0.09 0.15 0.0 0.0
 0.09 0.16 0.0 0.0
 0.09 0.17 0.0 0.0
 0.09 0.18000000000000002 0.0 0.0
 0.09 0.19000000000000003 0.0 0.0
 0.09 0.20000000000000004 0.0 0.0
 0.09 0.21000000000000005 0.0 0.0
 0.09 0.22000000000000006 0.0 0.0
 0.09 0.23000000000000007 0.0 0.0
 0.09 0.24000000000000007 0.0 0.0
 0.09 0.25000000000000006 0.0 0.0
 0.09 0.26000000000000006 0.0 0.0
 0.09 0.2700000000000001 0.0 0.0
 0.09 0.2800000000000001 0.0 0.0
 0.09 0.2900000000000001 0.0 0.0
 0.09 0.3000000000000001 0.0 0.0
 0.09 0.3100000000000001 0.0 0.0
 0.09 0.3200000000000001 0.0 0.0
 0.09 0.3300000000000001 0.0 0.0
 0.09 0.34000000000000014 0.0 0.0
 0.09 0.35000000000000014 0.0 0.0
 0.09 0.36000000000000015 0.0 0.0
 0.09 0.37000000000000016 0.0 0.0
 0.09 0.38000000000000017 0.0 0.0
 0.09 0.3900000000000002 0.0 0.0
 0.09 0.4000000000000002 0.0 0.0
 0.09 0.4100000000000002 0.0 0.0
 0.09 0.4200000000000002 0.0 0.0
 0.09 0.4300000000000002 0.0 0.0
 0.09 0.4400000000000002 0.0 0.0
 0.09 0.45000000000000023 0.0 0.0
 0.09 0.46000000000000024 0.0 0.0
 0.09 0.47000000000000025 0.0 0.0
 0.09 0.48000000000000026 0.0 0.0
 0.09 0.49000000000000027 0.0 0.0
 0.09 0.5000000000000002 0.0 0.0
 0.09 0.5100000000000002 0.0 0.0
 0.09 0.5200000000000002 0.0 0.0
 0.09 0.5300000000000002 0.0 0.0
 0.09 0.5400000000000003 0.0 0.0
 0.09 0.5500000000000003 0.0 0.0
 0.09 0.5600000000000003 0.0 0.0
 0.09 0.5700000000000003 0.0 0.0
 0.09 0.5800000000000003 0.0 0.0
 0.09 0.5900000000000003 0.0 0.0
 0.09 0.6000000000000003 0.0 0.0
 0.09 0.6100000000000003 0.0 0.0
 0.09 0.6200000000000003 0.0 0.0
 0.09 0.6300000000000003 0.0 0.0
 0.09 0.6400000000000003 0.0 0.0
 0.09 0.6500000000000004 0.0 0.0
 0.09 0.6600000000000004 0.0 0.0
 0.09 0.6700000000000004 0.0 0.0
 0.09 0.6800000000000004 0.0 0.0
 0.09 0.6900000000000004 0.0 0.0
 0.09 0.7000000000000004 0.0 0.0
 0.09 0.7100000000000004 0.0 0.0
 0.09 0.7200000000000004 0.0 0.0
 0.09 0.7300000000000004 0.0 0.0
 0.09 0.7400000000000004 0.0 0.0
 0.09 0.7500000000000004 0.0 0.0
 0.09 0.7600000000000005 0.0 0.0
 0.09 0.7700000000000005 0.0 0.0
 0.09 0.7800000000000005 0.0 0.0
 0.09 0.7900000000000005 0.0 0.0
 0.09 0.8000000000000005 0.0 0.0
 0.09 0.8100000000000005 0.0 0.0
 0.09 0.8200000000000005 0.0 0.0
 0.09 0.8300000000000005 0.0 0.0
 0.09 0.8400000000000005 0.0 0.0
 0.09 0.8500000000000005 0.0 0.0
 0.09 0.8600000000000005 0.0 0.0
 0.09 0.8700000000000006 0.0 0.0
 0.09 0.8800000000000006 0.0 0.0
 0.09 0.8900000000000006 0.0 0.0
 0.09 0.9000000000000006 0.0 0.0
 0.09 0.9100000000000006 0.0 0.0
 0.09 0.9200000000000006 0.0 0.0
 0.09 0.9300000000000006 0.0 0.0
 0.09 0.9400000000000006 0.0 0.0
 0.09 0.9500000000000006 0.0 0.0
 0.09 0.9600000000000006 0.0 0.0
 0.09 0.9700000000000006 0.0 0.0
 0.09 0.9800000000000006 0.0 0.0
 0.09 0.9900000000000007 0.0 0.0
 0.09 1.0000000000000007 0.0 0.0

 0.09999999999999999 0.0 0.0 0.0
 0.09999999999999999 0.01 0.0 0.0
 0.09999999999999999 0.02 0.0 0.0
 0.09999999999999999 0.03 0.0 0.0
 0.09999999999999999 0.04 0.0 0.0
 0.09999999999999999 0.05 0.0 0.0
 0.09999999999999999 0.060000000000000005 0.0 0.0
 0.09999999999999999 0.07 0.0 0.0
 0.09999999999999999 0.08 0.0 0.0
 0.09999999999999999 0.09 0.0 0.0
 0.09999999999999999 0.09999999999999999 0.0 0.0
 0.09999999999999999 0.10999999999999999 0.0 0.0
 0.09999999999999999 0.11999999999999998 0.0 0.0
 0.09999999999999999 0.12999999999999998 0.0 0.0
 0.09999999999999999 0.13999999999999999 0.0 0.0
 0.09999999999999999 0.15 0.0 0.0
 0.09999999999999999 0.16 0.0 0.0
 0.09999999999999999 0.17 0.0 0.0
 0.09999999999999999 0.18000000000000002 0.0 0.0
 0.09999999999999999 0.19000000000000003 0.0 0.0
 0.09999999999999999 0.20000000000000004 0.0 0.0
 0.09999999999999999 0.21000000000000005 0.0 0.0
 0.09999999999999999 0.22000000000000006 0.0 0.0
 0.09999999999999999 0.23000000000000007 0.0 0.0
 0.09999999999999999 0.24000000000000007 0.0 0.0
 0.09999999999999999 0.25000000000000006 0.0 0.0
 0.09999999999999999 0.26000000000000006 0.0 0.0
 0.09999999999999999 0.2700000000000001 0.0 0.0
 0.09999999999999999 0.2800000000000001 0.0 0.0
 0.09999999999999999 0.2900000000000001 0.0 0.0
 0.09999999999999999 0.3000000000000001 0.0 0.0
 0.09999999999999999 0.3100000000000001 0.0 0.0
 0.09999999999999999 0.3200000000000001 0.0 0.0
 0.09999999999999999 0.3300000000000001 0.0 0.0
 0.09999999999999999 0.34000000000000014 0.0 0.0
 0.09999999999999999 0.35000000000000014 0.0 0.0
 0.09999999999999999 0.36000000000000015 0.0 0.0
 0.09999999999999999 0.37000000000000016 0.0 0.0
 0.09999999999999999 0.38000000000000017 0.0 0.0
 0.09999999999999999 0.3900000000000002 0.0 0.0
 0.09999999999999999 0.4000000000000002 0.0 0.0
 0.09999999999999999 0.4100000000000002 0.0 0.0
 0.09999999999999999 0.4200000000000002 0.0 0.0
 0.09999999999999999 0.4300000000000002 0.0 0.0
 0.09999999999999999 0.4400000000000002 0.0 0.0
 0.09999999999999999 0.45000000000000023 0.0 0.0
 0.09999999999999999 0.46000000000000024 0.0 0.0
 0.09999999999999999 0.47000000000000025 0.0 0.0
 0.09999999999999999 0.48000000000000026 0.0 0.0
 0.09999999999999999 0.49000000000000027 0.0 0.0
 0.09999999999999999 0.5000000000000002 0.0 0.0
 0.09999999999999999 0.5100000000000002 0.0 0.0
 0.09999999999999999 0.5200000000000002 0.0 0.0
 0.09999999999999999 0.5300000000000002 0.0 0.0
 0.09999999999999999 0.5400000000000003 0.0 0.0
 0.09999999999999999 0.5500000000000003 0.0 0.0
 0.09999999999999999 0.5600000000000003 0.0 0.0
 0.09999999999999999 0.5700000000000003 0.0 0.0
 0.09999999999999999 0.5800000000000003 0.0 0.0
 0.09999999999999999 0.5900000000000003 0.0 0.0
 0.09999999999999999 0.6000000000000003 0.0 0.0
 0.09999999999999999 0.6100000000000003 0.0 0.0
 0.09999999999999999 0.6200000000000003 0.0 0.0
 0.09999999999999999 0.6300000000000003 0.0 0.0
 0.09999999999999999 0.6400000000000003 0.0 0.0
 0.09999999999999999 0.6500000000000004 0.0 0.0
 0.09999999999999999 0.6600000000000004 0.0 0.0
 0.09999999999999999 0.6700000000000004 0.0 0.0
 0.09999999999999999 0.6800000000000004 0.0 0.0
 0.09999999999999999 0.6900000000000004 0.0 0.0
 0.09999999999999999 0.7000000000000004 0.0 0.0
 0.09999999999999999 0.7100000000000004 0.0 0.0
 0.09999999999999999 0.7200000000000004 0.0 0.0
 0.09999999999999999 0.7300000000000004 0.0 0.0
 0.09999999999999999 0.7400000000000004 0.0 0.0
 0.09999999999999999 0.7500000000000004 0.0 0.0
 0.09999999999999999 0.7600000000000005 0.0 0.0
 0.09999999999999999 0.7700000000000005 0.0 0.0
 0.09999999999999999 0.7800000000000005 0.0 0.0
 0.09999999999999999 0.7900000000000005 0.0 0.0
 0.09999999999999999 0.8000000000000005 0.0 0.0
 0.09999999999999999 0.8100000000000005 0.0 0.0
 0.09999999999999999 0.8200000000000005 0.0 0.0
 0.09999999999999999 0.8300000000000005 0.0 0.0
 0.09999999999999999 0.8400000000000005 0.0 0.0
 0.09999999999999999 0.8500000000000005 0.0 0.0
 0.09999999999999999 0.8600000000000005 0.0 0.0
 0.09999999999999999 0.8700000000000006 0.0 0.0
 0.09999999999999999 0.8800000000000006 0.0 0.0
 0.09999999999999999 0.8900000000000006 0.0 0.0
 0.09999999999999999 0.9000000000000006 0.0 0.0
 0.09999999999999999 0.9100000000000006 0.0 0.0
 0.09999999999999999 0.9200000000000006 0.0 0.0
 0.09999999999999999 0.9300000000000006 0.0 0.0
 0.09999999999999999 0.9400000000000006 0.0 0.0
 0.09999999999999999 0.9500000000000006 0.0 0.0
 0.09999999999999999 0.9600000000000006 0.0 0.0
 0.09999999999999999 0.9700000000000006 0.0 0.0
 0.09999999999999999 0.9800000000000006 0.0 0.0
 0.09999999999999999 0.9900000000000007 0.0 0.0
 0.09999999999999999 1.0000000000000007 0.0 0.0

 0.10999999999999999 0.0 0.0 0.0
 0.10999999999999999 0.01 0.0 0.0
 0.10999999999999999 0.02 0.0 0.0
 0.10999999999999999 0.03 0.0 0.0
 0.10999999999999999 0.04 0.0 0.0
 0.10999999999999999 0.05 0.0 0.0
 0.10999999999999999 0.060000000000000005 0.0 0.0
 0.10999999999999999 0.07 0.0 0.0
 0.10999999999999999 0.08 0.0 0.0
 0.10999999999999999 0.09 0.0 0.0
 0.10999999999999999 0.09999999999999999 0.0 0.0
 0.10999999999999999 0.10999999999999999 0.0 0.0
 0.10999999999999999 0.11999999999999998 0.0 0.0
 0.10999999999999999 0.12999999999999998 0.0 0.0
 0.10999999999999999 0.13999999999999999 0.0 0.0
 0.10999999999999999 0.15 0.0 0.0
 0.10999999999999999 0.16 0.0 0.0
 0.10999999999999999 0.17 0.0 0.0
 0.10999999999999999 0.18000000000000002 0.0 0.0
 0.10999999999999999 0.19000000000000003 0.0 0.0
 0.10999999999999999 0.20000000000000004 0.0 0.0
 0.10999999999999999 0.21000000000000005 0.0 0.0
 0.10999999999999999 0.22000000000000006 0.0 0.0
 0.10999999999999999 0.23000000000000007 0.0 0.0
 0.10999999999999999 0.24000000000000007 0.0 0.0
 0.10999999999999999 0.25000000000000006 0.0 0.0
 0.10999999999999999 0.26000000000000006 0.0 0.0
 0.10999999999999999 0.2700000000000001 0.0 0.0
 0.10999999999999999 0.2800000000000001 0.0 0.0
 0.10999999999999999 0.2900000000000001 0.0 0.0
 0.10999999999999999 0.3000000000000001 0.0 0.0
 0.10999999999999999 0.3100000000000001 0.0 0.0
 0.10999999999999999 0.3200000000000001 0.0 0.0
 0.10999999999999999 0.3300000000000001 0.0 0.0
 0.10999999999999999 0.34000000000000014 0.0 0.0
 0.10999999999999999 0.35000000000000014 0.0 0.0
 0.10999999999999999 0.36000000000000015 0.0 0.0
 0.10999999999999999 0.37000000000000016 0.0 0.0
 0.10999999999999999 0.38000000000000017 0.0 0.0
 0.10999999999999999 0.3900000000000002 0.0 0.0
 0.10999999999999999 0.4000000000000002 0.0 0.0
 0.10999999999999999 0.4100000000000002 0.0 0.0
 0.10999999999999999 0.4200000000000002 0.0 0.0
 0.10999999999999999 0.4300000000000002 0.0 0.0
 0.10999999999999999 0.4400000000000002 0.0 0.0
 0.10999999999999999 0.45000000000000023 0.0 0.0
 0.10999999999999999 0.46000000000000024 0.0 0.0
 0.10999999999999999 0.47000000000000025 0.0 0.0
 0.10999999999999999 0.48000000000000026 0.0 0.0
 0.10999999999999999 0.49000000000000027 0.0 0.0
 0.10999999999999999 0.5000000000000002 0.0 0.0
 0.10999999999999999 0.5100000000000002 0.0 0.0
 0.10999999999999999 0.5200000000000002 0.0 0.0
 0.10999999999999999 0.5300000000000002 0.0 0.0
 0.10999999999999999 0.5400000000000003 0.0 0.0
 0.10999999999999999 0.5500000000000003 0.0 0.0
 0.10999999999999999 0.5600000000000003 0.0 0.0
 0.10999999999999999 0.5700000000000003 0.0 0.0
 0.10999999999999999 0.5800000000000003 0.0 0.0
 0.10999999999999999 0.5900000000000003 0.0 0.0
 0.10999999999999999 0.6000000000000003 0.0 0.0
 0.10999999999999999 0.6100000000000003 0.0 0.0
 0.10999999999999999 0.6200000000000003 0.0 0.0
 0.10999999999999999 0.6300000000000003 0.0 0.0
 0.10999999999999999 0.6400000000000003 0.0 0.0
 0.10999999999999999 0.6500000000000004 0.0 0.0
 0.10999999999999999 0.6600000000000004 0.0 0.0
 0.10999999999999999 0.6700000000000004 0.0 0.0
 0.10999999999999999 0.6800000000000004 0.0 0.0
 0.10999999999999999 0.6900000000000004 0.0 0.0
 0.10999999999999999 0.7000000000000004 0.0 0.0
 0.10999999999999999 0.7100000000000004 0.0 0.0
 0.10999999999999999 0.7200000000000004 0.0 0.0
 0.10999999999999999 0.7300000000000004 0.0 0.0
 0.10999999999999999 0.7400000000000004 0.0 0.0
 0.10999999999999999 0.7500000000000004 0.0 0.0
 0.10999999999999999 0.7600000000000005 0.0 0.0
 0.10999999999999999 0.7700000000000005 0.0 0.0
 0.10999999999999999 0.7800000000000005 0.0 0.0
 0.10999999999999999 0.7900000000000005 0.0 0.0
 0.10999999999999999 0.8000000000000005 0.0 0.0
 0.10999999999999999 0.8100000000000005 0.0 0.0
 0.10999999999999999 0.8200000000000005 0.0 0.0
 0.10999999999999999 0.8300000000000005 0.0 0.0
 0.10999999999999999 0.8400000000000005 0.0 0.0
 0.10999999999999999 0.8500000000000005 0.0 0.0
 0.10999999999999999 0.8600000000000005 0.0 0.0
 0.10999999999999999 0.8700000000000006 0.0 0.0
 0.10999999999999999 0.8800000000000006 0.0 0.0
 0.10999999999999999 0.8900000000000006 0.0 0.0
 0.10999999999999999 0.9000000000000006 0.0 0.0
 0.10999999999999999 0.9100000000000006 0.0 0.0
 0.10999999999999999 0.9200000000000006 0.0 0.0
 0.10999999999999999 0.9300000000000006 0.0 0.0
 0.10999999999999999 0.9400000000000006 0.0 0.0
 0.10999999999999999 0.9500000000000006 0.0 0.0
 0.10999999999999999 0.9600000000000006 0.0 0.0
 0.10999999999999999 0.9700000000000006 0.0 0.0
 0.10999999999999999 0.9800000000000006 0.0 0.0
 0.10999999999999999 0.9900000000000007 0.0 0.0
 0.10999999999999999 1.0000000000000007 0.0 0.0

 0.11999999999999998 0.0 0.0 0.0
 0.11999999999999998 0.01 0.0 0.0
 0.11999999999999998 0.02 0.0 0.0
 0.11999999999999998 0.03 0.0 0.0
 0.11999999999999998 0.04 0.0 0.0
 0.11999999999999998 0.05 0.0 0.0
 0.11999999999999998 0.060000000000000005 0.0 0.0
 0.11999999999999998 0.07 0.0 0.0
 0.11999999999999998 0.08 0.0 0.0
 0.11999999999999998 0.09 0.0 0.0
 0.11999999999999998 0.09999999999999999 0.0 0.0
 0.11999999999999998 0.10999999999999999 0.0 0.0
 0.11999999999999998 0.11999999999999998 0.0 0.0
 0.11999999999999998 0.12999999999999998 0.0 0.0
 0.11999999999999998 0.13999999999999999 0.0 0.0
 0.11999999999999998 0.15 0.0 0.0
 0.11999999999999998 0.16 0.0 0.0
 0.11999999999999998 0.17 0.0 0.0
 0.11999999999999998 0.18000000000000002 0.0 0.0
 0.11999999999999998 0.19000000000000003 0.0 0.0
 0.11999999999999998 0.20000000000000004 0.0 0.0
